title,rating,hours,all_reviews,release_date,developer,publisher,game_details,genre,score,user score,players,main_story
Fallout 4,10.0,87.0,"Mostly Positive,(90,387),- 70% of the 90,387 user reviews for this game are positive.","Nov 9, 2015",Bethesda Game Studios,"Bethesda Softworks,Bethesda Softworks","Single-player,Steam Achievements,Full controller support,Steam Cloud",RPG,84.0,5.5,No Online Multiplayer,26.0
Left 4 Dead 2,9.88888888888889,8.9,"Overwhelmingly Positive,(156,890),- 96% of the 156,890 user reviews for this game are positive.","Nov 16, 2009",Valve,"Valve,Valve","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available",Action,89.0,8.4,Up to 8 ,9.0
HuniePop,9.444444444444445,8.5,"Overwhelmingly Positive,(14,373),- 96% of the 14,373 user reviews for this game are positive.","Jan 19, 2015",HuniePot,"HuniePot,HuniePot","Single-player,Steam Achievements,Steam Trading Cards","Indie,RPG,Simulation,Strategy",,,,9.0
Path of Exile,5.0,8.1,"Very Positive,(78,960),- 91% of the 78,960 user reviews for this game are positive.","Oct 23, 2013",Grinding Gear Games,"Grinding Gear Games,Grinding Gear Games","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",86.0,8.0,Online Multiplayer,28.64
Poly Bridge,5.769230769230768,7.5,"Very Positive,(3,935),- 88% of the 3,935 user reviews for this game are positive.","Jul 12, 2016",Dry Cactus,"Dry Cactus,Dry Cactus","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Indie,Simulation",73.0,7.4,No Online Multiplayer,13.0
Left 4 Dead,4.714285714285714,3.3,"Very Positive,(13,811),- 94% of the 13,811 user reviews for this game are positive.","Nov 17, 2008",Valve,"Valve,Valve","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Captions available,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes Source SDK,Commentary available",Action,89.0,9.1,Up to 8 ,7.0
Team Fortress 2,5.0,2.8,"Very Positive,(553,458),- 93% of the 553,458 user reviews for this game are positive.","Oct 10, 2007",Valve,"Valve,Valve","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available","Action,Free to Play",92.0,9.1,Up to 32 ,317.54
Tomb Raider,5.0,2.5,"Overwhelmingly Positive,(76,537),- 95% of the 76,537 user reviews for this game are positive.","Mar 4, 2013","Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux)","Square Enix,Feral Interactive (Mac),Feral Interactive (Linux),Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure",86.0,8.4,No info,11.32
The Banner Saga,0.1904761904761905,2.0,"Very Positive,(9,026),- 89% of the 9,026 user reviews for this game are positive.","Jan 14, 2014",Stoic,"Versus Evil,Versus Evil","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Includes level editor","Indie,RPG,Strategy",80.0,8.0,No Online Multiplayer,105.0
BioShock Infinite,0.1130434782608695,1.3,"Overwhelmingly Positive,(59,252),- 95% of the 59,252 user reviews for this game are positive.","Mar 25, 2013","Irrational Games,Aspyr (Mac),Virtual Programming (Linux)","2K,Aspyr (Mac),2K,Aspyr (Mac)","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,94.0,8.6,No Online Multiplayer,115.0
