title,main_story
#WarGames,2.0
#monstercakes,0.25
$1 Ride,0.6166666666666667
'Splosion Man,8.0
'n Verlore Verstand,6.0
.detuned,0.36666666666666664
.hack//G.U. Vol. 1: Rebirth,20.5
.hack//G.U. Vol. 2: Reminisce,22.5
.hack//G.U. Vol. 3: Redemption,23.5
.hack//G.U. Vol. 4: Reconnection,2.0
.hack//Infection,18.0
.hack//Link,29.0
.hack//Mutation,16.5
.hack//Outbreak,19.5
.hack//Quarantine,17.5
.hack//Versus,12.0
.projekt,2.5
//N.P.P.D. RUSH//- The milk of Ultraviolet,2.0
007 Legends,6.5
007 Legends: Skyfall DLC,0.4166666666666667
007 Racing,3.0
007: Licence to Kill,0.8
007: The World Is Not Enough,4.0
0RBITALIS,2.0
0°N 0°W,2.0
1 Moment of Time: Silentville,3.0
"1,000 Heads Among the Trees",0.5666666666666667
1-2-Switch,1.5
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1.0
10 Second Ninja,1.0
10 Second Ninja X,2.0
"10,000 Bullets",4.0
10-Yard Fight,0.35
100% Orange Juice,7.0
1000 Amps,4.0
1000 Tiny Claws,4.0
10000000,6.0
1001 Spikes,7.0
100ft Robot Golf,4.0
101 Ways to Die,9.0
102 Dalmatians: Puppies to the Rescue,6.5
103,0.5833333333333334
1080 Snowboarding,3.0
1080° Avalanche,4.5
11-11 Memories Retold,5.0
1166,1.5
1187: Episode 1,6.0
12 Labours of Hercules,6.0
12 Labours of Hercules II: The Cretan Bull,5.5
12 Labours of Hercules III: Girl Power,5.5
12 Labours of Hercules IV: Mother Nature,7.0
12 Labours of Hercules V: Kids of Hellas,6.5
12 Labours of Hercules VI: Race for Olympus,9.0
12 Labours of Hercules VII: Fleecing the Fleece,9.0
12 is Better Than 6,4.5
1213: Special Edition,2.5
140,1.0
15 Days,6.5
"150,000 B.C.",0.25
18 Wheeler: American Pro Trucker,1.0
18 Wheels of Steel: Across America,20.0
18 Wheels of Steel: American Long Haul,20.0
18 Wheels of Steel: Convoy,15.0
1849,12.0
1914: Prelude to Chaos,15.0
1916 - Der unbekannte Krieg,0.25
1917 - The Alien Invasion,2.0
1924,0.25
1931: Scheherazade at the Library of Pergamum,10.5
1941: Counter Attack,0.5166666666666667
1942,2.0
1942: Joint Strike,1.5
1943 Kai,0.5833333333333334
1943: The Battle of Midway,3.0
1944: The Loop Master,0.7833333333333333
1953 - KGB Unleashed,2.5
1954: Alcatraz,5.5
1979 Revolution: Black Friday,2.0
1993 Space Machine,3.0
199X,2.0
19XX: The War Against Destiny,0.5833333333333334
1HEART,3.5
1Quest,2.0
1Xtreme,0.5833333333333334
1bitheart,5.5
2 Sectors (Doom 2 WAD),0.6833333333333333
20 Minute Metropolis,0.36666666666666664
200% Mixed Juice!,5.0
2000:1: A Space Felony,1.0
2013: Infected Wars,5.0
2048,0.7833333333333333
2064: Read Only Memories,9.0
20XX,5.0
222 Hearts,1.5
24: Special Ops,1.0
24: The Game,11.5
25 To Life,4.0
2Dark,9.5
2Xtreme,0.9833333333333333
3 Cards to Dead Time,11.5
3 Cards to Midnight,17.5
3 Count Bout,2.0
3 Ninjas Kick Back,2.0
3 Stars of Destiny,15.0
3 on 3 NHL Arcade,1.0
3-D WorldRunner,1.5
30 Flights of Loathing,0.08333333333333333
30 Impossible Levels,2.0
300 Dwarves,3.0
300: March to Glory,7.5
3079,3.0
3089,6.5
35MM,4.0
36 Fragments of Midnight,0.65
39 Days To Mars,1.5
3D Chess,2.0
3D Classics: Excitebike,1.5
3D Classics: Kid Icarus,4.0
3D Dot Game Heroes,15.5
3D Fantasy Zone II W,1.0
3D Galaxy Force II,0.43333333333333335
3D Gunstar Heroes,2.0
3D Maze Walker,1.0
3D Tetris,1.0
3Souls,2.0
3SwitcheD,1.5
3Xtreme,0.8333333333333334
3rd Super Robot Wars Alpha: To the End of the Galaxy,79.0
4 Elements,8.5
4 Elements II,6.0
4 Wheel Drive,0.6666666666666666
40 Winks,6.5
400 Years,0.35
404Sight,0.8166666666666667
428: Shibuya Scramble,27.0
4PM,0.45
4x4 Evolution,12.5
4x4 Hummer,7.0
5 Days a Stranger,3.0
50 Cent: Blood on the Sand,5.5
50 Cent: Bulletproof,6.0
6 Day Assassin,0.25
6 Days a Sacrifice,3.0
6 Degrees of Sabotage,0.25
60 Parsecs!,2.5
60 Seconds Burger Run,0.08333333333333333
60 Seconds Santa Run,0.25
60 Seconds!,2.0
6180 the moon,1.5
64th Street: A Detective Story,0.6333333333333333
688(I) Hunter/Killer,9.5
7 Billion Humans,7.0
7 Blades,4.0
7 Days a Skeptic,3.0
7 Days to Die,34.5
"7 Grand Steps, Step 1: What Ancients Begat",9.5
7 Sins,9.5
7 Wonders II,5.5
7 Wonders of the Ancient World,3.0
7 Wonders: Ancient Alien Makeover,5.5
7 Wonders: Magical Mystery Tour,4.5
7 Wonders: Treasures of Seven,7.0
7'scarlet,4.5
"7,62 High Calibre",27.0
7.62mm,35.0
720 Degrees,3.0
7554,9.0
7Days (2013),0.5
7Days (2018),2.0
7th Dragon,35.0
7th Dragon 2020,22.5
7th Dragon III Code: VFD,32.5
8 Eyes,2.5
8-Bit Bayonetta,0.25
8-Bit Commando,0.8666666666666667
8-Bit Invaders!,25.0
8-Bit Killer,1.5
8-bit Armies,7.5
8-bit Mario World - Desert Mario,0.08333333333333333
80 Days,3.0
80 Days: Around the World Adventure,8.0
80's Overdrive,7.0
868-HACK,3.0
8Bit Fiesta,4.0
8BitBoy,4.5
8infinity,0.25
9 Clues 2: The Ward,3.0
9 Clues: The Secret of Serpent Creek,2.5
9-nine-:Episode 1,3.5
911 Operator,8.5
99 Levels to Hell,8.0
"999: Nine Hours, Nine Persons, Nine Doors",9.5
99Vidas,3.0
9:05,0.25
9th Company: Roots of Terror,4.0
:the game:,0.45
A Bastard's Tale,2.0
A Bewitching Revolution,0.5
A Blind Legend,2.0
A Boy and His Blob,9.5
A Boy and His Blob: Trouble on Blobolonia,0.9666666666666667
A Bug's Life,5.5
A Bug's Life (GBC),2.0
A Case of Distrust,2.5
A Chair in a Room: Greenwater,3.0
A City Sleeps,1.0
A Dance of Fire and Ice,3.0
A Dark Room,3.5
A Date in the Park,0.65
A Detective's Novel,1.5
A Druid's Duel,13.0
A Fine Mess,0.5333333333333333
A Fisherman's Tale,1.5
A Fistful of Gun,3.0
A Foretold Affair,4.0
A Game of Dwarves,35.0
A Game of Thrones: Genesis,10.0
A Goddess for Free,0.7166666666666667
A Golden Wake,5.0
A Good Snowman is Hard to Build,1.5
A Hat in Time,8.5
A Hat in Time - Nyakuza Metro,2.0
A Hat in Time - Seal the Deal,2.0
A Healer Only Lives Twice,2.0
A Hole New World,2.5
A House of Many Doors,20.0
A Kappa's Trail,6.0
A King's Tale: Final Fantasy XV,1.5
A Kingdom for Keflings,6.0
A Lenda do Heroi,11.5
A Light in the Dark,4.0
A Little Lily Princess,6.5
A Lonely Moon,0.08333333333333333
A Magical High School Girl,12.0
A Midsummer Night's Choice,2.0
A Mortician's Tale,0.9666666666666667
A Mother's Inferno,0.25
A New Beginning,9.0
A New Reckoning,0.25
A Nightmare on Elm Street,1.0
A Noble Circle,0.25
A Normal Lost Phone,1.5
A Plague Tale: Innocence,9.5
A Raven Monologue,0.08333333333333333
A Robot Named Fight!,2.5
A Rose in the Twilight,6.0
A Salem Witch Trial,1.0
A Second Before Us,2.5
A Second Face,2.5
